IPO Name: RBZ Jewellers Ltd. IPO, Issue Size: 0.0, Price: 100.0, Status: listed, Scraped At: 2026-01-05 07:24:43.310167
IPO Name: Happy Forgings Ltd. IPO, Issue Size: 0.0, Price: 850.0, Status: listed, Scraped At: 2026-01-05 07:24:43.309817
IPO Name: Shanti Spintex Ltd. IPO, Issue Size: 0.0, Price: 70.0, Status: listed, Scraped At: 2026-01-05 07:24:43.309416
IPO Name: Azad Engineering Ltd. IPO, Issue Size: 0.0, Price: 524.0, Status: listed, Scraped At: 2026-01-05 07:24:43.302827
IPO Name: Indifra Ltd. IPO, Issue Size: 0.0, Price: 65.0, Status: listed, Scraped At: 2026-01-05 07:24:43.302464
IPO Name: Supreme Power Equipment Ltd. IPO, Issue Size: 0.0, Price: 65.0, Status: listed, Scraped At: 2026-01-05 07:24:43.302039
IPO Name: Innova Captab Ltd. IPO, Issue Size: 0.0, Price: 448.0, Status: listed, Scraped At: 2026-01-05 07:24:43.301590
IPO Name: Trident Techlabs Ltd. IPO, Issue Size: 0.0, Price: 35.0, Status: listed, Scraped At: 2026-01-05 07:24:43.301102
IPO Name: Sameera Agro & Infra Ltd. IPO, Issue Size: 0.0, Price: 180.0, Status: listed, Scraped At: 2026-01-05 07:24:43.300717
IPO Name: AIK Pipes & Polymers Ltd. IPO, Issue Size: 0.0, Price: 89.0, Status: listed, Scraped At: 2026-01-05 07:24:43.300311
IPO Name: Akanksha Power & Infrastructure Ltd. IPO, Issue Size: 0.0, Price: 55.0, Status: listed, Scraped At: 2026-01-05 07:24:43.299111
IPO Name: HRH Next Services Ltd. IPO, Issue Size: 0.0, Price: 36.0, Status: listed, Scraped At: 2026-01-05 07:24:43.298835
IPO Name: Manoj Ceramic Ltd. IPO, Issue Size: 0.0, Price: 62.0, Status: listed, Scraped At: 2026-01-05 07:24:43.298546
IPO Name: Shri Balaji Valve Components Ltd. IPO, Issue Size: 0.0, Price: 100.0, Status: listed, Scraped At: 2026-01-05 07:24:43.298265
IPO Name: Kay Cee Energy & Infra Ltd. IPO, Issue Size: 0.0, Price: 54.0, Status: listed, Scraped At: 2026-01-05 07:24:43.297946
IPO Name: Kaushalya Logistics Ltd. IPO, Issue Size: 0.0, Price: 75.0, Status: listed, Scraped At: 2026-01-05 07:24:43.297633
IPO Name: Mangal Compusolution Ltd. IPO, Issue Size: 0.0, Price: 45.0, Status: listed, Scraped At: 2026-01-05 07:24:24.360075
IPO Name: Onyx Biotec Ltd. IPO, Issue Size: 0.0, Price: 61.0, Status: listed, Scraped At: 2026-01-05 07:24:24.359681
IPO Name: Lamosaic India Ltd. IPO, Issue Size: 0.0, Price: 200.0, Status: listed, Scraped At: 2026-01-05 07:24:24.358133
IPO Name: C2C Advanced Systems Ltd. IPO, Issue Size: 0.0, Price: 226.0, Status: listed, Scraped At: 2026-01-05 07:24:24.357772
IPO Name: Rajesh Power Services Ltd. IPO, Issue Size: 0.0, Price: 335.0, Status: listed, Scraped At: 2026-01-05 07:24:24.357410
IPO Name: Rajputana Biodiesel Ltd. IPO, Issue Size: 0.0, Price: 130.0, Status: listed, Scraped At: 2026-01-05 07:24:24.357006
IPO Name: Abha Power & Steel Ltd. IPO, Issue Size: 0.0, Price: 75.0, Status: listed, Scraped At: 2026-01-05 07:24:24.356626
IPO Name: Apex Ecotech Ltd. IPO, Issue Size: 0.0, Price: 73.0, Status: listed, Scraped At: 2026-01-05 07:24:24.356241
IPO Name: Agarwal Toughened Glass India Ltd. IPO, Issue Size: 0.0, Price: 108.0, Status: listed, Scraped At: 2026-01-05 07:24:24.355831
IPO Name: Ganesh Infraworld Ltd. IPO, Issue Size: 0.0, Price: 83.0, Status: listed, Scraped At: 2026-01-05 07:24:24.355451
IPO Name: Nisus Finance Services Co.Ltd. IPO, Issue Size: 0.0, Price: 180.0, Status: listed, Scraped At: 2026-01-05 07:24:24.355017
IPO Name: Emerald Tyre Manufacturers Ltd. IPO, Issue Size: 0.0, Price: 95.0, Status: listed, Scraped At: 2026-01-05 07:24:24.354577
IPO Name: Dhanlaxmi Crop Science Ltd. IPO, Issue Size: 0.0, Price: 55.0, Status: listed, Scraped At: 2026-01-05 07:24:24.342809
IPO Name: Toss The Coin Ltd. IPO, Issue Size: 0.0, Price: 182.0, Status: listed, Scraped At: 2026-01-05 07:24:24.342447
IPO Name: Jungle Camps India Ltd. IPO, Issue Size: 0.0, Price: 72.0, Status: listed, Scraped At: 2026-01-05 07:24:24.342056
IPO Name: Godavari Biorefineries Ltd. IPO, Issue Size: 0.0, Price: 352.0, Status: listed, Scraped At: 2026-01-05 07:24:01.835884
IPO Name: Afcons Infrastructure Ltd. IPO, Issue Size: 0.0, Price: 463.0, Status: listed, Scraped At: 2026-01-05 07:24:01.835494
